id,phase,month,start_Workers50,end_Workers50,start_Workers100,end_Workers100,start_WorkerSalary,end_WorkerSalary,start_ShirtPrice,end_ShirtPrice,start_SalesOutlets,end_SalesOutlets,start_MaterialOrder,end_MaterialOrder,start_Machines50,end_Machines50,start_Machines100,end_Machines100,start_MachineService,end_MachineService,start_WorkerBenefits,end_WorkerBenefits,start_Advertising,end_Advertising,start_BusinessLocation,end_BusinessLocation,start_BankAccount,end_BankAccount,start_ShirtSales,end_ShirtSales,start_MaterialPrice,end_MaterialPrice,start_ShirtStock,end_ShirtStock,start_WorkerSatisfaction,end_WorkerSatisfaction,start_ProductionIdle,end_ProductionIdle,start_CompanyValue,end_CompanyValue,start_CustomerInterest,end_CustomerInterest,start_MaterialStock,end_MaterialStock,start_MachineCapacity,end_MachineCapacity,start_Turn,end_Turn,action_Workers50,action_Workers100,action_WorkerSalary,action_ShirtPrice,action_SalesOutlets,action_MaterialOrder,action_Machines50,action_Machines100,action_MachineService,action_WorkerBenefits,action_Advertising,action_BusinessLocation,change_BankAccount,change_ShirtSales,change_MaterialPrice,change_ShirtStock,change_WorkerSatisfaction,change_ProductionIdle,change_CompanyValue,change_CustomerInterest,change_MaterialStock,change_MachineCapacity,rel_action_Workers50,rel_action_Workers100,rel_action_WorkerSalary,rel_action_ShirtPrice,rel_action_SalesOutlets,rel_action_MaterialOrder,rel_action_Machines50,rel_action_Machines100,rel_action_MachineService,rel_action_WorkerBenefits,rel_action_Advertising,rel_action_BusinessLocation,rel_change_BankAccount,rel_change_ShirtSales,rel_change_MaterialPrice,rel_change_ShirtStock,rel_change_WorkerSatisfaction,rel_change_ProductionIdle,rel_change_CompanyValue,rel_change_CustomerInterest,rel_change_MaterialStock,rel_change_MachineCapacity,expenses_Material,expenses_Salary,expenses_Social,expenses_Outlets,expenses_Location,expenses_Storage,expenses_Advertising,expenses_MachineService,investments_Outlets,investments_Machines50,investments_Machines100,income_Outlets,income_Machines50,income_Machines100,income_Interest,income_Sales
lqarbu3k-a41cwmkx7nq,exploration,1,8,8,0,0,1080,1080,52,52,1,1,0,0,10,10,0,0,1200,1200,50,50,2800,2800,1,1,165775,156604,407,97,4,8,81,0,0.98,1,0,1.0,250691,255084,767,703,16,0,47,44,1,2,0,0,0,0,0,0,0,0,0,0,0,0,-9171,-310,4,-81,0.020000000000000018,1,4393,-64,-16,-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.055321972553159404,-0.7616707616707616,1.0,-1.0,0.02040816326530614,,0.01752356486670842,-0.08344198174706649,-1.0,-0.06382978723404255,0,8640,400,500,1000,89.0,2800,1200,0.0,0.0,0.0,0.0,0.0,0.0,414.4375,5044.0
lqarbu3k-a41cwmkx7nq,exploration,2,8,10,0,0,1080,1080,52,52,1,1,0,100,10,10,0,0,1200,1400,50,50,2800,2800,1,2,156604,143396,97,100,8,5,0,0,1.0,1,1,1.0,255084,237056,703,811,0,0,44,42,2,3,2,0,0,0,0,100,0,0,200,0,0,1,-13208,3,-3,0,0.0,0,-18028,108,0,-2,0.25,0.0,0.0,0.0,0.0,,0.0,0.0,0.16666666666666666,0.0,0.0,1.0,-0.08434011902633394,0.030927835051546393,-0.375,0.0,0.0,0.0,-0.07067475811889416,0.15362731152204837,0.0,-0.045454545454545456,800,10800,500,500,2000,0.0,2800,1400,0.0,0.0,0.0,0.0,0.0,0.0,391.51,5200.0
lqarbu3k-a41cwmkx7nq,exploration,3,10,11,0,0,1080,1080,52,52,1,1,100,200,10,11,0,0,1400,2000,50,60,2800,2800,2,2,143396,123314,100,200,5,5,0,0,1.0,1,1,1.0,237056,222874,811,826,0,0,42,41,3,4,1,0,0,0,0,100,1,0,600,10,0,0,-20082,100,0,0,0.0,0,-14182,15,0,-1,0.1,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.42857142857142855,0.2,0.0,0.0,-0.14004574744065384,1.0,0.0,0.0,0.0,0.0,-0.05982552645788337,0.018495684340320593,0.0,-0.023809523809523808,1000,11880,660,500,2000,0.0,2800,2000,0.0,10000.0,0.0,0.0,0.0,0.0,358.49,10400.0
lqarbu3k-a41cwmkx7nq,exploration,4,11,11,0,1,1080,1080,52,56,1,1,200,400,11,11,0,1,2000,2500,60,60,2800,2800,2,2,123314,102542,200,400,5,6,0,0,1.0,1,1,0.0,222874,217191,826,812,0,0,41,40,4,5,0,1,0,4,0,200,0,1,500,0,0,0,-20772,200,1,0,0.0,-1,-5683,-14,0,-1,0.0,,0.0,0.07692307692307693,0.0,1.0,0.0,,0.25,0.0,0.0,0.0,-0.16844802698801434,1.0,0.2,0.0,0.0,-1.0,-0.025498712276891877,-0.01694915254237288,0.0,-0.024390243902439025,2000,12960,720,500,2000,0.0,2800,2500,0.0,0.0,20000.0,0.0,0.0,0.0,308.285,22400.0
lqarbu3k-a41cwmkx7nq,exploration,5,11,11,1,2,1080,1080,56,56,1,1,400,700,11,11,1,2,2500,3000,60,70,2800,2800,2,2,102542,78309,400,410,6,5,0,196,1.0,1,0,0.0,217191,211583,812,767,0,94,40,40,5,6,0,1,0,0,0,300,0,1,500,10,0,0,-24233,10,-1,196,0.0,0,-5608,-45,94,0,0.0,1.0,0.0,0.0,0.0,0.75,0.0,1.0,0.2,0.16666666666666666,0.0,0.0,-0.23632267753700922,0.025,-0.16666666666666666,,0.0,0.0,-0.025820591092632753,-0.05541871921182266,,0.0,4200,14040,910,500,2000,0.0,2800,3000,0.0,0.0,20000.0,0.0,0.0,0.0,256.355,22960.712361223934
lqarbu3k-a41cwmkx7nq,exploration,6,11,11,2,2,1080,1080,56,56,1,2,700,700,11,11,2,2,3000,3400,70,70,2800,2800,2,2,78309,62819,410,397,5,7,196,406,1.0,1,0,0.0,211583,211260,767,943,94,187,40,40,6,7,0,0,0,0,1,0,0,0,400,0,0,0,-15490,-13,2,210,0.0,0,-323,176,93,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,-0.19780612700966682,-0.03170731707317073,0.4,1.0714285714285714,0.0,0.0,-0.0015265876748131939,0.22946544980443284,0.9893617021276596,0.0,3500,14040,910,1000,2000,243.0,2800,3400,10000.0,0.0,0.0,0.0,0.0,0.0,195.7725,22207.627772116735
lqarbu3k-a41cwmkx7nq,test,1,8,10,0,0,1080,1080,52,56,1,1,0,400,10,10,0,0,1200,1800,50,50,2800,2800,1,1,165775,169308,407,397,4,8,81,100,0.98,1,0,0.0,250691,271837,767,703,16,0,47,45,1,2,2,0,0,4,0,400,0,0,600,0,0,0,3533,-10,4,19,0.020000000000000018,0,21146,-64,-16,-2,0.25,0.0,0.0,0.07692307692307693,0.0,,0.0,0.0,0.5,0.0,0.0,0.0,0.02131201930327251,-0.02457002457002457,1.0,0.2345679012345679,0.02040816326530614,0.0,0.08435085423888372,-0.08344198174706649,-1.0,-0.0425531914893617,1600,10800,500,500,1000,89.0,2800,1800,0.0,0.0,0.0,0.0,0.0,0.0,414.4375,22207.627772116735
lqarbu3k-a41cwmkx7nq,test,2,10,11,0,0,1080,1080,56,56,1,1,400,450,10,11,0,0,1800,2200,50,50,2800,3000,1,2,169308,157038,397,377,8,5,100,173,1.0,1,0,0.0,271837,266769,703,859,0,0,45,44,2,3,1,0,0,0,0,50,1,0,400,0,200,1,-12270,-20,-3,73,0.0,0,-5068,156,0,-1,0.1,0.0,0.0,0.0,0.0,0.125,0.1,0.0,0.2222222222222222,0.0,0.07142857142857142,1.0,-0.07247147211000071,-0.05037783375314862,-0.375,0.73,0.0,0.0,-0.018643525347910698,0.22190611664295876,0.0,-0.022222222222222223,3600,11880,550,500,2000,100.0,3000,2200,0.0,10000.0,0.0,0.0,0.0,0.0,423.27,21136.574134275383
lqarbu3k-a41cwmkx7nq,test,3,11,12,0,0,1080,1080,56,58,1,2,450,700,11,12,0,0,2200,3000,50,50,3000,3000,2,2,157038,134508,377,402,5,5,173,277,1.0,1,0,0.0,266769,264874,859,994,0,194,44,44,3,4,1,0,0,2,1,250,1,0,800,0,0,0,-22530,25,0,104,0.0,0,-1895,135,194,0,0.09090909090909091,0.0,0.0,0.03571428571428571,1.0,0.5555555555555556,0.09090909090909091,0.0,0.36363636363636365,0.0,0.0,0.0,-0.14346845986321782,0.06631299734748011,0.0,0.6011560693641619,0.0,0.0,-0.007103524022656306,0.15715948777648428,,0.0,3500,12960,600,1000,2000,173.0,3000,3000,10000.0,10000.0,0.0,0.0,0.0,0.0,392.595,23310.76603962787
lqarbu3k-a41cwmkx7nq,test,4,12,14,0,0,1080,1080,58,60,2,2,700,800,12,14,0,0,3000,3700,50,50,3000,3300,2,2,134508,109633,402,416,5,6,277,448,1.0,1,0,0.0,264874,261873,994,1052,194,406,44,44,4,5,2,0,0,2,0,100,2,0,700,0,300,0,-24875,14,1,171,0.0,0,-3001,58,212,0,0.16666666666666666,0.0,0.0,0.034482758620689655,0.0,0.14285714285714285,0.16666666666666666,0.0,0.23333333333333334,0.0,0.1,0.0,-0.18493323817170726,0.03482587064676617,0.2,0.6173285198555957,0.0,0.0,-0.01132991535598058,0.05835010060362173,1.092783505154639,0.0,4000,15120,700,1000,2000,374.0,3300,3700,0.0,20000.0,0.0,0.0,0.0,0.0,336.27,24982.386182606173
